Language,MFCC_Coeff,Mean,Variance
Gujarati,MFCC_1,-388.49606,2.9970574
Gujarati,MFCC_2,151.46768,1.0167012
Gujarati,MFCC_3,-1.9615128,1.0566578
Gujarati,MFCC_4,-5.7419167,2.436903
Gujarati,MFCC_5,8.735307,21.136034
Gujarati,MFCC_6,1.2418894,7.303946
Gujarati,MFCC_7,-11.464787,3.6095057
Gujarati,MFCC_8,-2.35335,5.8587604
Gujarati,MFCC_9,-7.767085,0.14428759
Gujarati,MFCC_10,-19.534843,3.2975235
Gujarati,MFCC_11,-10.596387,0.52712005
Gujarati,MFCC_12,-3.4605174,1.7632039
Gujarati,MFCC_13,-5.016094,2.0022714
Gujarati,MFCC_14,-5.697563,2.7478778
Gujarati,MFCC_15,-3.6928875,29.574663
Gujarati,MFCC_16,-9.242181,1.1991279
Gujarati,MFCC_17,-4.685876,13.728199
Gujarati,MFCC_18,1.6536098,0.1517756
Gujarati,MFCC_19,-3.6360734,4.67035
Gujarati,MFCC_20,-5.6320953,0.5415083
Gujarati,MFCC_21,-2.6644826,11.294239
Gujarati,MFCC_22,-4.6671505,15.857656
Gujarati,MFCC_23,-7.7814445,5.7671585
Gujarati,MFCC_24,-3.0413606,13.647224
Gujarati,MFCC_25,-0.058965504,0.41352397
Gujarati,MFCC_26,-0.57201433,1.6095359
Gujarati,MFCC_27,-4.2030764,2.1767004
Gujarati,MFCC_28,-3.2163045,3.2445948
Gujarati,MFCC_29,-1.0339198,1.0804908
Gujarati,MFCC_30,-3.6072202,10.500167
Gujarati,MFCC_31,-2.9255443,0.21209879
Gujarati,MFCC_32,-3.4578054,18.78344
Gujarati,MFCC_33,-3.2295885,3.684928
Gujarati,MFCC_34,-4.424905,0.88767827
Gujarati,MFCC_35,-4.485643,0.43161696
Gujarati,MFCC_36,-2.5729961,4.6215715
Gujarati,MFCC_37,-3.7725105,0.11931613
Gujarati,MFCC_38,-4.5837193,15.519298
Gujarati,MFCC_39,-4.006653,8.616282
Gujarati,MFCC_40,-2.6903784,0.43380463
Hindi,MFCC_1,-397.85126,101.801865
Hindi,MFCC_2,111.01634,172.17783
Hindi,MFCC_3,7.0861135,243.54453
Hindi,MFCC_4,33.91021,42.79091
Hindi,MFCC_5,-0.29362392,456.1949
Hindi,MFCC_6,14.938339,88.20914
Hindi,MFCC_7,-2.2980523,59.370926
Hindi,MFCC_8,-12.890205,8.29898
Hindi,MFCC_9,-4.699751,16.481785
Hindi,MFCC_10,-5.1738763,11.391678
Hindi,MFCC_11,2.038872,0.5567676
Hindi,MFCC_12,-4.7548523,0.0014927381
Hindi,MFCC_13,-2.406408,3.8240564
Hindi,MFCC_14,2.2506204,28.344326
Hindi,MFCC_15,-4.292767,9.304184
Hindi,MFCC_16,-3.1034782,26.20932
Hindi,MFCC_17,-1.7663909,15.159676
Hindi,MFCC_18,-3.154829,21.49263
Hindi,MFCC_19,0.112844706,2.0458179
Hindi,MFCC_20,-6.0670424,13.602115
Hindi,MFCC_21,-3.4221952,3.953948
Hindi,MFCC_22,-1.0450399,6.630771
Hindi,MFCC_23,-2.165025,0.020598777
Hindi,MFCC_24,-0.50036764,20.546251
Hindi,MFCC_25,-3.1420243,11.305076
Hindi,MFCC_26,-1.3936188,0.62312376
Hindi,MFCC_27,-3.9665332,1.8793192
Hindi,MFCC_28,-7.0572014,1.461973
Hindi,MFCC_29,-4.430303,4.578132
Hindi,MFCC_30,1.7018464,0.37005866
Hindi,MFCC_31,-1.2174498,4.844587
Hindi,MFCC_32,-4.8317027,2.4041643
Hindi,MFCC_33,-3.3980598,1.3577724
Hindi,MFCC_34,-3.3854303,1.2569648
Hindi,MFCC_35,-1.391507,5.2478976
Hindi,MFCC_36,-1.4955406,0.3551278
Hindi,MFCC_37,-0.87076175,0.43428043
Hindi,MFCC_38,-1.1461062,1.5521822
Hindi,MFCC_39,-0.71966827,2.5267196
Hindi,MFCC_40,-1.0979621,0.0039459504
Tamil,MFCC_1,-321.13388,1935.9436
Tamil,MFCC_2,158.06708,432.34344
Tamil,MFCC_3,6.883628,10.019783
Tamil,MFCC_4,6.840433,118.520645
Tamil,MFCC_5,2.8437963,2.6819339
Tamil,MFCC_6,10.614162,6.0972695
Tamil,MFCC_7,-10.033037,27.27354
Tamil,MFCC_8,-17.639233,67.09052
Tamil,MFCC_9,-9.872333,191.08981
Tamil,MFCC_10,-7.9252663,14.769532
Tamil,MFCC_11,-13.731615,34.926796
Tamil,MFCC_12,-7.0033054,64.45947
Tamil,MFCC_13,-9.019469,29.301851
Tamil,MFCC_14,-12.16935,0.02516768
Tamil,MFCC_15,0.66100454,78.68845
Tamil,MFCC_16,0.10640623,0.101620615
Tamil,MFCC_17,-6.3977785,0.008014723
Tamil,MFCC_18,-3.5167549,9.949632
Tamil,MFCC_19,-1.312197,8.182035
Tamil,MFCC_20,-2.3732119,13.921898
Tamil,MFCC_21,-2.2324708,1.3953114
Tamil,MFCC_22,-7.027316,10.097597
Tamil,MFCC_23,-0.93575454,4.658663
Tamil,MFCC_24,-1.9648521,0.11569476
Tamil,MFCC_25,-3.5635216,4.4691615
Tamil,MFCC_26,-1.3592081,5.8850465
Tamil,MFCC_27,-3.4920378,16.390392
Tamil,MFCC_28,-2.204213,0.10759187
Tamil,MFCC_29,-3.1732888,4.282215
Tamil,MFCC_30,-0.66973925,21.684633
Tamil,MFCC_31,-1.8513471,1.4549334
Tamil,MFCC_32,-2.7211084,7.750345
Tamil,MFCC_33,0.68606544,0.00048335176
Tamil,MFCC_34,-0.35566786,5.0120034e-06
Tamil,MFCC_35,-2.2356331,0.030251952
Tamil,MFCC_36,0.7307148,0.2962492
Tamil,MFCC_37,0.44972178,1.1922183
Tamil,MFCC_38,-0.7977092,2.1180086
Tamil,MFCC_39,-0.5513918,2.424262
Tamil,MFCC_40,1.216139,0.0056494777
